,,Overall
n,,185
"Alcohol History, n (%)",No,29 (15.7)
"Alcohol History, n (%)",None,86 (46.5)
"Alcohol History, n (%)",Yes,70 (37.8)
"Alcohol Intensity, n (%)",Non-Drinker,29 (15.7)
"Alcohol Intensity, n (%)",Occasional Drinker,18 (9.7)
"Alcohol Intensity, n (%)",Social Drinker,15 (8.1)
"Alcohol Intensity, n (%)",Drinker,15 (8.1)
"Alcohol Intensity, n (%)",Heavy Drinker,22 (11.9)
"Alcohol Intensity, n (%)",None,86 (46.5)
"Tobacco Smoking Status, n (%)",Current Reformed Smoker for < or = 15 yrs,23 (12.4)
"Tobacco Smoking Status, n (%)",Current Reformed Smoker for > 15 yrs,29 (15.7)
"Tobacco Smoking Status, n (%)","Current Reformed Smoker, Duration Not Specified",8 (4.3)
"Tobacco Smoking Status, n (%)",Current Smoker,20 (10.8)
"Tobacco Smoking Status, n (%)",Lifelong Non-Smoker,69 (37.3)
"Tobacco Smoking Status, n (%)",None,36 (19.5)
