,,Overall
n,,185
"Adjuvant, n (%)",0,44 (23.8)
"Adjuvant, n (%)",Pharmaceutical,1 (0.5)
"Adjuvant, n (%)",Pharmaceutical Radiation,63 (34.1)
"Adjuvant, n (%)",Radiation,77 (41.6)
"Pancreatectomy, n (%)",0,158 (85.4)
"Pancreatectomy, n (%)",Distal Pancreatectomy,24 (13.0)
"Pancreatectomy, n (%)",Total Pancreatectomy,3 (1.6)
"Other, n (%)",0,182 (98.4)
"Other, n (%)",Antineoplastic Vaccine - Immunotherapy,1 (0.5)
"Other, n (%)","Biopsy, Excisional",1 (0.5)
"Other, n (%)",Megestrol Acetate & Dexamethasone - Hormone Therapy,1 (0.5)
