,,Overall
n,,185
"Age, median [min,max]",,"65.0 [35.0,88.0]"
"Gender, n (%)",female,83 (44.9)
"Gender, n (%)",male,102 (55.1)
"Ethnicity, n (%)",None,43 (23.2)
"Ethnicity, n (%)",hispanic or latino,5 (2.7)
"Ethnicity, n (%)",not hispanic or latino,137 (74.1)
"Race, n (%)",None,5 (2.7)
"Race, n (%)",asian,11 (5.9)
"Race, n (%)",black or african american,7 (3.8)
"Race, n (%)",white,162 (87.6)
"Country Of Residence, n (%)",Australia,5 (2.7)
"Country Of Residence, n (%)",Brazil,2 (1.1)
"Country Of Residence, n (%)",Canada,40 (21.6)
"Country Of Residence, n (%)",Germany,6 (3.2)
"Country Of Residence, n (%)",Russia,1 (0.5)
"Country Of Residence, n (%)",South Korea,8 (4.3)
"Country Of Residence, n (%)",United States,122 (65.9)
"Country Of Residence, n (%)",Vietnam,1 (0.5)
"Vital Status, n (%)",Alive,113 (61.1)
"Vital Status, n (%)",Dead,72 (38.9)
"Overall Survival, median [min,max]",,"467.0 [0.0,2741.0]"
