,,Overall
n,,185
"Ajcc Pathologic Stage, n (%)",Estadio I,21 (11.4)
"Ajcc Pathologic Stage, n (%)",Estadio II,152 (82.2)
"Ajcc Pathologic Stage, n (%)",Estadio III,4 (2.2)
"Ajcc Pathologic Stage, n (%)",Estadio IV,5 (2.7)
"Ajcc Pathologic Stage, n (%)",None,3 (1.6)
"Ajcc Pathologic T, n (%)",None,1 (0.5)
"Ajcc Pathologic T, n (%)",T1,7 (3.8)
"Ajcc Pathologic T, n (%)",T2,24 (13.0)
"Ajcc Pathologic T, n (%)",T3,148 (80.0)
"Ajcc Pathologic T, n (%)",T4,4 (2.2)
"Ajcc Pathologic T, n (%)",TX,1 (0.5)
"Ajcc Pathologic N, n (%)",N0,50 (27.0)
"Ajcc Pathologic N, n (%)",N1,126 (68.1)
"Ajcc Pathologic N, n (%)",N1b,4 (2.2)
"Ajcc Pathologic N, n (%)",NX,4 (2.2)
"Ajcc Pathologic N, n (%)",None,1 (0.5)
"Ajcc Pathologic M, n (%)",M0,85 (45.9)
"Ajcc Pathologic M, n (%)",M1,5 (2.7)
"Ajcc Pathologic M, n (%)",MX,95 (51.4)
