,,Overall
n,,185
"Ajcc Pathologic Stage 8th, n (%)",Estadio I,34 (18.4)
"Ajcc Pathologic Stage 8th, n (%)",Estadio II,89 (48.1)
"Ajcc Pathologic Stage 8th, n (%)",Estadio III,57 (30.8)
"Ajcc Pathologic Stage 8th, n (%)",Estadio IV,5 (2.7)
"Ajcc Pathologic T 8th, n (%)",T1,12 (6.5)
"Ajcc Pathologic T 8th, n (%)",T2,101 (54.6)
"Ajcc Pathologic T 8th, n (%)",T3,68 (36.8)
"Ajcc Pathologic T 8th, n (%)",T4,4 (2.2)
"Ajcc Pathologic N 8th, n (%)",N0,50 (27.0)
"Ajcc Pathologic N 8th, n (%)",N1,77 (41.6)
"Ajcc Pathologic N 8th, n (%)",N2,55 (29.7)
"Ajcc Pathologic N 8th, n (%)",NX,3 (1.6)
