,,Overall
n,,23
"Primary Diagnosis, n (%)",Adenocarcinoma,2 (8.7)
"Primary Diagnosis, n (%)",Adenoma,1 (4.3)
"Primary Diagnosis, n (%)",Basal Cell Carcinoma,3 (13.0)
"Primary Diagnosis, n (%)",Basaloid Squamous Cell Carcinoma,1 (4.3)
"Primary Diagnosis, n (%)",Carcinoma,3 (13.0)
"Primary Diagnosis, n (%)",Clear Cell Carcinoma,1 (4.3)
"Primary Diagnosis, n (%)",Infiltrating Duct Carcinoma,1 (4.3)
"Primary Diagnosis, n (%)",Intraductal Carcinoma Noninfiltrating,1 (4.3)
"Primary Diagnosis, n (%)",Melanoma,4 (17.4)
"Primary Diagnosis, n (%)",Neoplasm,1 (4.3)
"Primary Diagnosis, n (%)",None,2 (8.7)
"Primary Diagnosis, n (%)",Squamous Cell Carcinoma,2 (8.7)
"Primary Diagnosis, n (%)",Transitional Cell Carcinoma,1 (4.3)
"Tissue Or Organ Of Origin, n (%)",Bladder,1 (4.3)
"Tissue Or Organ Of Origin, n (%)",Breast,4 (17.4)
"Tissue Or Organ Of Origin, n (%)",Cervix Uteri,1 (4.3)
"Tissue Or Organ Of Origin, n (%)","Head, Face Or Neck",2 (8.7)
"Tissue Or Organ Of Origin, n (%)",Kidney,1 (4.3)
"Tissue Or Organ Of Origin, n (%)",Lower Limb,1 (4.3)
"Tissue Or Organ Of Origin, n (%)",Pituitary Gland,1 (4.3)
"Tissue Or Organ Of Origin, n (%)",Prostate Gland,3 (13.0)
"Tissue Or Organ Of Origin, n (%)",Skin,4 (17.4)
"Tissue Or Organ Of Origin, n (%)",Thyroid Gland,1 (4.3)
"Tissue Or Organ Of Origin, n (%)",Upper Limb,3 (13.0)
"Tissue Or Organ Of Origin, n (%)",Vagina,1 (4.3)
